Acronis,Acronis,Organization,Acronis offers technically advanced storage management solutions for mission-critical applications.,2002-01-01,4,1000,501,11000000,0,
ACS,ACS,Organization,ACS is a company with a passion for making other people happy. This can include consumers, clients, the guy at the grocery store, and even,,,,,0,0,
ACTIMAX,Actimax,Organization,CloudXL is the culmination of 15 years of cloud, collaboration and networking experience. We have over 800 clients in financial,,,,,,0,0,
Activ,Activ,Organization,Bitly for real world,,,,,10000,0,
Activate,Nullsms,Organization,,,,,,0,0,
ActiveMedia,ActiveMedia,Organization,In business since 2001, activeMedia has the highest number of Adobe Systems certifications (13) of any company in Canada and has,2001-01-01,4,,,0,0,
Actix,Actix,Organization,Actix delivers automated network performance engineering and network status management systems for wireless carriers.,1981-01-01,4,,,0,0,
ACTIX,Actix,Organization,Actix delivers automated network performance engineering and network status management systems for wireless carriers.,1981-01-01,4,,,0,0,
Actuate,Actuate,Organization,Actuate provides software and services to develop and deploy custom business intelligence and information applications.,1993-01-01,4,1000,501,0,0,
Acuity,Acuity,Organization,community philanthropy,,,,,0,0,
Acumen,Acumen,Organization,,,,,,0,1,
ACW,ACW,Organization,Full Service Design Agency,2004-01-02,7,50,11,0,0,12
Adaptec,Adaptec,Organization,Adaptec, Inc. (NASDAQ: ADPT) provides trusted storage solutions that reliably move, manage, and protect critical data and digital content.,1981-01-01,4,500,251,0,0,
Adaptive,Adaptive,Organization,Adaptive researches and develops projects in Artificial Intelligence, Communication Security, Electronic Transaction Systems, Adaptive,2004-02-06,7,10,1,0,0,5
ADC,ADC,Organization,They helped the world communicate, supplying network equipment, software solutions, and integration services for broadband, multiservice,,,,,0,0,
ADDR,Addr,Organization,Collective and annotation-focus ebook reader,,,None,None,0,0,
Adea,Adea,Organization,Adea, a business and information technology consulting company, offers solutions and services for commercial and government organizations.,1996-01-01,4,,,5000000,0,
Adecco,Adecco,Organization,Adecco offers Human Resources services and a range of staffing and career resources to clients and associates.,,,,,0,1,
Ademco,Ademco,Organization,,,,,,0,0,
Adeptra,Adeptra,Organization,Adeptra Ltd. provides automated contact and resolution services to consumer credit and risk management companies. It offers Auto-resolution,1996-01-01,4,,,0,0,
Adexa,Adexa,Organization,Adexa delivers intelligent enterprise business planning and performance management solutions that link strategic planning, financial,1994-01-01,4,,,0,0,
ADP,ADP,Organization,ADP provides business outsourcing solutions that facilitate businesses in HR, payroll and administration processes.,1949-01-01,4,1000000,10001,2000000,0,
Adp,ADP,Organization,ADP provides business outsourcing solutions that facilitate businesses in HR, payroll and administration processes.,1949-01-01,4,1000000,10001,2000000,0,
Adroit,Adroit Digital,Organization,Digital Marketing,2013-01-01,4,,,0,0,
ADVA,ADVA,Organization,Optical Networking,,,,,0,0,
Advance,Advance,Organization,,,,,,0,1,
Advantech,Advantech,Organization,Founded in 1983, Advantech has provided leadership for innovative ePlatform products and services for over 25 years.,1983-01-01,4,,,0,0,
AECOM,AECOM,Organization,AECOM is a global provider of professional technical and management support services to a broad range of markets.,,,,,0,0,
AEG,AEG,Organization,AEG is one of the leading sports and entertainment presenters in the world. AEG, a wholly owned subsidiary of the Anschutz Company, owns,,,,,,0,1,
Aegis,Aegis,Organization,Aegis is a Sino-foreign joint high-tech venture providing various types of sewage treatment services.,2009-01-01,4,,,21929020,0,
Aetna,Aetna,Organization,Health, Dental and Other Insurance Plans,1853-01-01,4,1000000,10001,0,0,
Affle,Affle,Organization,Affle is an end-to-end Mobile Apps & Mobile Ads as Service (MAAS) platform. Affle's investors include Microsoft, D2C (NTT DoCoMo & Dentsu),I,2006-02-01,7,500,251,10000000,0,350
Affymetrix,Affymetrix,Organization,Affymetrix now develops and provides innovative technologies that enable multiplex and parallel analysis of biological systems at the cell,,1991-01-01,4,1000000,10001,0,0,
Agency,Agency | 2.0,Organization,Crowdfunding Marketing Campaigns,2011-11-01,7,,,0,0,5
AGENDA,Agenda,Organization,On-line travel organizer which helps to plan the travel.,2012-01-01,4,,,102117,0,
Agfa,Agfa Gevaert,Organization,,,,,,0,0,
agilent,Agilent Technologies,Organization,Agilent Technologies develops measurement analysis technology for chemical analysis, life sciences, diagnostics, electronics, and others.,1939-01-01,4,1000000,10001,0,1,20500
Agilent,Agilent Technologies,Organization,Agilent Technologies develops measurement analysis technology for chemical analysis, life sciences, diagnostics, electronics, and others.,1939-01-01,4,1000000,10001,0,1,20500
AGILENT,Agilent Technologies,Organization,Agilent Technologies develops measurement analysis technology for chemical analysis, life sciences, diagnostics, electronics, and others.,1939-01-01,4,1000000,10001,0,1,20500
AIA,AIA,Organization,Algorithms for a better world,1988-01-01,4,,,0,0,
AIESEC,AIESEC,Organization,AIESEC is an international non-profit organization that provides young people with leadership opportunities to develop themselves into globa,1948-01-01,4,None,None,0,0,
AIM,AIM,Organization,The main objective of the Aloha in Motion(AIM) is to create an online and new media presentation magazine.,2010-05-15,7,,,0,0,23
Aim,AIM,Organization,The main objective of the Aloha in Motion(AIM) is to create an online and new media presentation magazine.,2010-05-15,7,,,0,0,23
Aims,AIMS,Organization,,,,None,None,0,0,
Aircom,Aircom,Organization,Aircom is a Chinese high-tech enterprise providing technical services for communication system products.,2002-04-01,6,,,0,0,
AIT,AIT,Organization,AIT is a biotechnology company focused on the development of drugs for the treatment of lung infections.,2011-01-01,4,,,1250000,0,
ait,AIT,Organization,AIT is a biotechnology company focused on the development of drugs for the treatment of lung infections.,2011-01-01,4,,,1250000,0,
AITINDO,AITINDO,Organization,,,,,,0,0,
AkzoNobel,AkzoNobel,Organization,Paints, Coatings, Specialty Chemicals,1994-01-01,4,,,0,0,55590
Albert,Albert,Organization,Angel investor in Vancouver,,,,,0,0,
Alcatel,Alcatel,Organization,Alcatel-Lucent develops fixed, mobile, and converged networking hardware along with IP technologies, software, and services.,,,,,0,0,
Alcatel-Lucent,Alcatel-Lucent,Organization,Alcatel-Lucent provides IP and cloud networking and ultra-broadband fixed and wireless access solutions for service providers.,1898-01-01,4,,,0,4,77000
ALCATEL-LUCENT,Alcatel-Lucent,Organization,Alcatel-Lucent provides IP and cloud networking and ultra-broadband fixed and wireless access solutions for service providers.,1898-01-01,4,,,0,4,77000
Alert,Alert1,Organization,Live better. Wear Alert1,1988-01-01,4,,,0,0,
ALFA,Alfa,Organization,Selling industrial products,2012-02-01,7,50,11,0,0,25
Algorithmics,Algorithmics,Organization,Algorithmics offers enterprise risk solutions to help financial institutions understand and manage risk.,,,,,200000,0,
AlgoSec,Algosec,Organization,Security Policy Management,2003-01-01,7,None,None,0,0,
Ali,Ali,Organization,Ali is a Chinese domestic animation brand that develops products such as picture books, animations, and other peripheral products.,2009-04-01,6,,,3204600,0,
Allegro,Allegro Technologies,Organization,Allegro Technologies Ltd., trading as Deerac Fluidics Limited, develops microdispensing technologies for the liquid handling market within,2000-01-01,4,,,0,0,
Allergan,Allergan,Organization,Allergan is a global pharmaceutical company.,1948-01-01,4,,,0,1,
Allianz,Allianz,Organization,Allianz offers a comprehensive range of insurance and asset management products and services to approximately 78 million customers in more,1890-01-01,4,1000000,10001,0,0,144000
Allscripts,Allscripts,Organization,Allscripts offers Allscripts Wand, an iPad application for managing enterprise and professional electronic health records.,1986-01-01,4,,,0,0,
Alltel,Alltel,Organization,Alltel is a wireless company offering telecommunication solutions such as roaming and long-distance calling; data solutions; and more.,1968-01-01,4,1000,501,0,0,
Alorica,Alorica,Organization,Alorica, Inc. operates as a customer service management company. It engages in managing customers lifecycle from front-office customer,1999-01-01,4,,,2620018,0,
Alpha,Alpha,Organization,,,,,,0,0,
ALPHAGRAPHICS,AlphaGraphics,Organization,AlphaGraphics, Inc., plans, produces and manages visual communications for businesses at nearly 300 owner-operated.,,,,,0,0,
Alstom,Alstom,Organization,Alstom is a global leader in the world of power generation, power transmission and rail infrastructure and sets the benchmark for,,,,,0,0,
ALSTOM,Alstom,Organization,Alstom is a global leader in the world of power generation, power transmission and rail infrastructure and sets the benchmark for,,,,,0,0,
Altair,AltaIR Capital,Organization,VC firm that invests in very early/seed stage tech companies, primarily in the areas of Internet and Mobile,2010-01-01,4,,,0,77,
Altera,Altera,Organization,Programmable logic devices provider,1983-01-01,4,,,0,0,2760
Alternative,Alternative 3,Organization,Agency for marketing & communication,,,,,0,0,
Altron,Altron,Organization,Allied Electronics Corporation Limited (Altron) through its principal subsidiaries, Allied Technologies Limited,,,,,,0,0,
Alvarion,Alvarion,Organization,Wireless products,,,,,0,0,
Amadeus,Amadeus,Organization,Amadeus is a transaction processor providing transaction processing power and technology solutions for the travel and tourism industry.,1987-01-01,7,,,0,2,10000
Amazon,Amazon,Organization,Amazon.com is an international e-commerce website for consumers, sellers, and content creators.,1994-07-05,7,1000000,10001,8000000,28,
AMD,AMD,Organization,AMD is a semiconductor company developing computer processors and related technologies for the commercial and consumer markets.,1969-01-01,4,1000000,10001,0,4,16420
Amdocs,Amdocs,Organization,Amdocs is a developer and provider of customer experience systems for communications, media, and entertainment industries.,1982-01-01,4,,,0,1,
AMDOCS,Amdocs,Organization,Amdocs is a developer and provider of customer experience systems for communications, media, and entertainment industries.,1982-01-01,4,,,0,1,
Amgen,Amgen,Organization,Amgen engages in the development of human therapeutic products in supportive of cancer care, inflammation, nephrology and bone diseases.,1985-01-01,4,,,175463420,30,
AMI-Partners,AMI Partners,Organization,AMI-Partners is a global strategy consulting firm.,1996-01-01,4,,,0,0,
Amir,GIGAFICE Technologies,Organization,GIGAFICE Technologies was added to CrunchBase in 2013,,,,,0,0,
Amoeba,Amoeba,Organization,A visionary start-up commercializing the only biocide without human or environmental toxicity.,2010-01-01,4,None,None,888722,0,
Anafore,Anafore,Organization,Anafore is a referral marketing company that lets current customers of a company inform his/her friends of the company with a discount,2009-01-01,4,,,0,0,
Anapata,Anapata,Organization,,,,,,0,0,
Andale,Andale,Organization,As of November 15, 2006, Andale, Inc. was acquired by Vendio Services, Inc. Andale, Inc. provides auction management, and research and,,,,,0,0,
Andersen,Andersen,Organization,Andersen was added to CrunchBase in 2013,,,,,0,0,
Andrew,Andrew,Organization,AA Adonis Rubbish Removals,2012-01-15,7,,,0,0,
Anideo,Anideo,Organization,Development Lab,,,10,1,0,0,5
anon,Anon,Organization,,,,,,0,0,
Anritsu,Anritsu,Organization,Anritsu business expansion has occurred chiefly in the information and communication field.,,,,,0,0,
ANS,ANS,Organization,,,,,,0,0,
ANSYS,ANSYS,Organization,ANSYS, Inc., founded in 1970, develops and globally markets engineering simulation software and technologies widely used by engineers,,1970-01-01,4,5000,1001,0,0,
antarix,Antarix,Organization,Antarix creates innovative products in Mobile.,,,None,None,0,0,
ANTlabs,ANTlabs,Organization,ANTlabs (Advanced Network Technology Laboratories) offers solutions that help service providers meet their internet business needs.,1999-10-15,7,,,0,0,
ANTLabs,ANTlabs,Organization,ANTlabs (Advanced Network Technology Laboratories) offers solutions that help service providers meet their internet business needs.,1999-10-15,7,,,0,0,
Anxa,Anxa,Organization,Anxa provides wellness solutions that help improve people's health, quality of life, and self-knowledge.,2002-07-01,7,,,495650,0,100
ANZ,ANZ,Organization,ANZ was added to CrunchBase in 2012,,,,,0,0,
AOL,AOL,Organization,AOL provides various digital brands, products, and services to consumers, advertisers, publishers, and subscribers worldwide.,1985-05-24,7,10000,5001,1000000000,6,4600
APAC,APAC,Organization,,,,,,0,0,
apac,APAC,Organization,,,,,,0,0,
APC,APC,Organization,,,,,,0,0,
Apex,APEX,Organization,The Airline Passenger Experience Association is a network of the worlds leading airlines, suppliers and related companies .,2011-04-26,7,,,0,0,
APL,APL,Organization,Transportation/Trucking/Railroad,,,,,0,0,
APNIC,APNIC,Organization,APNIC is an open, membership-based, not-for-profit organization providing Internet addressing services to the Asia Pacific.,1992-01-01,4,None,None,0,0,
Apollo,Apollo,Organization,Apollo develops applications for Android and iOS users. Apollo Browser,,,,,0,0,
AppLabs,AppLabs,Organization,AppLabs provides consulting, outsourcing, offshoring and specialist services in software testing, quality management and certification.,2001-01-01,4,,,10000000,0,2000
apple,Apple,Organization,Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.,1976-04-01,7,1000000,10001,0,3,80000
Applitech,Applitech,Organization,,,,,,0,0,
appro,Appro,Organization,Appro is a leading developer of innovative supercomputing solutions. Appro is uniquely positioned to support High-Performance Computing,2000-01-01,4,,,0,0,
APS,APS,Organization,APS provides electricity, power and energy services for residential and business customers.,,,,,70500000,0,
Aptara,Aptara,Organization,Aptara transforms content for engaging and monetizing new digital audiences.,1988-01-01,4,,,23000000,0,
AQ,AQ,Organization,UX Design Consulting in Tokyo,2004-01-01,4,10,1,0,0,8
Aquent,Aquent,Organization,Staffing Agency,1986-01-01,4,,,0,0,
Arc,Arc 9,Organization,Creative Content Collaboration Platform,2013-03-01,6,,,0,0,9
Arca,Arca Solutions,Organization,We make thoughtful, functional products,,,100,51,0,0,
ARD,ARD,Organization,ARD is an online information resource that features news and other articles related to sports, culture, children, and more.,,,None,None,0,0,
Arena,Arena,Organization,Measuring performance through quantitative metrics,2014-07-01,7,10,1,0,0,2
Argonaut,ARGONAUT,Organization,ARGONAUT are advertising agency.,,,None,None,0,0,
Argos,Argos,Organization,Argos is a British online retail store that offers a range of products in the U.K. and Ireland.,1973-01-01,4,None,None,0,0,
argus,Argus,Organization,Development of hardware and software for monitoring the status of power,,,,,167000,0,
Argus,Argus,Organization,Development of hardware and software for monitoring the status of power,,,,,167000,0,
Ariba,Ariba,Organization,Ariba is a software and information technology services platform providing companies with collaborative business commerce solutions.,1996-01-01,4,5000,1001,0,1,
Arkadin,Arkadin,Organization,Arkadin provides businesses with online collaboration solutions using audio, web and unified communications tools.,2001-01-01,7,,,0,0,
Ascade,Ascade,Organization,Ascade offers business operations systems for managing and optimizing business decisions and operations.,1997-01-01,4,,,2590000,0,
Ascentis,Ascentis,Organization,Ascentis offers human resources management software and online payroll processing services for medium scale enterprises.,1984-01-01,4,,,10273803,0,
asda,Asda,Organization,Asda groceries online, to pick up in store or have delivered straight to your door.,,,,,0,0,
ASDF,ZX,Organization,,,,,,0,0,
ASEAN,ASEAN,Organization,The Association of Southeast Asian Nations, or ASEAN, was established on 8 August 1967 in Bangkok, Thailand.,1967-08-08,7,,,0,0,
ASG,ASG,Organization,ASG provides Global 5000 businesses with world-class professional services and software solutions for Metadata Management, Applications,1986-01-01,4,1000,501,0,0,1000
ASQ,ASQ (American Society for Quality),Organization,ASQ (American Society for Quality) is a global community of people dedicated to quality who share the ideas and tools that make our world,,,None,None,0,0,
Aster,Aster,Organization,Turn One PC to Four,2003-03-11,7,10,1,0,0,5
Astra,Astra,Organization,,,,,,0,0,
AstraZeneca,AstraZeneca,Organization,AstraZeneca, a global pharmaceutical company, discovers, develops, manufactures and markets prescription medicines.,1999-04-06,7,5000,1001,0,17,
Asus,Asus,Organization,Asus is a computer hardware and electronics company offering products such as PCs, LED/LCD panels, mobile phones, and networking equipment.,1990-04-02,7,1000000,10001,0,2,
Athena,Athena,Organization,Distance Based Sales Training,2013-01-01,6,,,0,0,9
athenahealth,Athenahealth,Organization,Athenahealth provides cloud-based services for physician practices, such as electronic health records and practice management.,1997-01-01,4,None,None,40000000,0,
ATKearney,ATKearney,Organization,ATKearney provides management consulting and related services.,,,,,0,0,
Atlas,Atlas Wearables,Organization,Atlas is a fitness monitor that identifies your exercises, counts your reps and sets, calculates the calories burned and evaluates form.,2013-01-01,7,10,1,2189019,0,3
Atomic,Atomic,Organization,Atomic is built from the ground up for interface design.,,,,,0,0,
AtoS,Atos,Organization,Atos provides consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology,1997-01-01,4,,,0,0,
Atos,Atos,Organization,Atos provides consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology,1997-01-01,4,,,0,0,
ATOS,Atos,Organization,Atos provides consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology,1997-01-01,4,,,0,0,
ATP,ATP,Organization,,,,,,0,0,
Atrix,Atrix,Organization,Atrix was established in Burnsville, MN in 1981 as Atrix Tool Company.,1981-01-01,4,None,None,0,0,
Attenda,Attenda,Organization,Enterprise Application Hosting,1997-01-01,4,,,0,0,220
Attorney,Attorney,Organization,Attorney was added to CrunchBase in 2013,,,,,0,0,
Audi,Audi,Organization,Audi, based in Germany, designs, engineers, manufactures and distributes automobiles.,1909-01-01,4,,,0,0,
AudioCodes,AudioCodes,Organization,AudioCodes Ltd. designs, manufactures and sells advanced Voice over IP and converged VoIP and Data networking products and applications to,1993-01-01,4,,,0,0,
Aurora,Aurora,Organization,Rediscover your surroundings like never before.,2012-04-05,7,,,0,0,
Austereo,Austereo,Organization,,,,,,0,0,
Autodesk,Autodesk,Organization,Autodesk is develops 3D design software for use in the architecture, engineering, construction, and media industries.,1982-01-01,4,10000,5001,0,8,7800
Autonomy,Autonomy Corporation,Organization,Autonomy Corporation develops software that process human information and unstructured data.,1996-01-17,7,1000000,10001,0,0,1200
ava,AVA,Organization,AVA is the Philippines' only curated online store of premium, well-loved brands and design objects.,,,,,0,0,
Avanade,Avanade,Organization,Avanade provides business technology solutions and managed services that connect insight, innovation and expertise in Microsoft,2000-01-01,4,1000000,10001,0,0,
Avantech,Avantech,Organization,Web Design, Web Development, Digital Marketing & IT Consultancy ompany, based in North Cork, Ireland.,2011-01-01,7,,,0,0,2
Avaya,Avaya,Organization,Avaya provides business communications and collaboration systems, applications and services.,2000-01-01,4,1000000,10001,0,0,18000
avaya,Avaya,Organization,Avaya provides business communications and collaboration systems, applications and services.,2000-01-01,4,1000000,10001,0,0,18000
Avea,Avea,Organization,AveA (Aria and Aycell, AandA) is a GSM operator in Turkey, offering technology and infrastructure to the mobile communications industry.,2004-01-01,6,,,0,0,
AvePoint,AvePoint,Organization,AvePoint is a technology company providing infrastructure management software solutions for Microsoft SharePoint products and technologies.,2001-01-01,4,,,90000000,0,1400
Aviva,Aviva,Organization,Natural Health Solutions,2001-01-01,4,,,0,0,
AVIVA,Aviva,Organization,Natural Health Solutions,2001-01-01,4,,,0,0,
AVL,AVL,Organization,AVL is the world's largest privately owned and independent company for the development of powertrain systems with internal combustion,,,,,0,0,
Avnet,Avnet,Organization,Avnet distributes electronic components, enterprise computer and storage products, and embedded subsystems.,1955-01-01,4,None,None,0,0,12000
Avon,Avon,Organization,Avon, the company for women, is a leading global beauty company, with nearly $11 billion in annual revenue.,,,,,0,0,
AVS,AVS,Organization,,,,,,0,0,
AXA,AXA Group,Organization,In the financial markets, AXA is positioned as a global leader in Financial Protection.,,,,,0,1,
Axiom,Axiom,Organization,Axiom is a 1,000-person firm, serving nearly half the F100 through 11 offices and 4 delivery centers globally.,2000-01-01,4,,,28000000,0,
Axis,Axis,Organization,AXIS Telekom Indonesia, a GSM mobile operator, provides mobile communication and content solutions to subscribers in Indonesia.,2000-01-01,4,,,0,0,
AxSys,Axsys,Organization,Imaging and Optical Systems,1997-01-01,4,,,0,0,
Axway,Axway,Organization,Axway provides multi-enterprise cloud integration and API and identity management software.,2001-01-01,7,,,0,0,
Azimuth,Azimuth,Organization,We are a dynamic technology company providing innovative cargo control solutions to logistics companies across the globe,,,,,0,0,
Aztecsoft,Aztecsoft,Organization,Aztecsoft provides full lifecycle product engineering, independent testing and professional services for software companies.,1995-01-01,4,,,0,0,2000
Baan,Baan,Organization,Baan is a developer of enterprise business management and client server software systems.,,,,,0,0,
Babcock,Babcock,Organization,Babcock is one of the nation's leading engineering and manufacturing companies for high-reliability power supplies, relays, and flat panel,,,,,0,0,
BackWeb,BackWeb,Organization,,,,,,0,0,
Bain,Bain,Organization,,,,,,0,0,
Bank,Bank 10,Organization,Bank 10 was added to CrunchBase in 2014,,,,,0,0,
bank,Bank 10,Organization,Bank 10 was added to CrunchBase in 2014,,,,,0,0,
BANK,Bank 10,Organization,Bank 10 was added to CrunchBase in 2014,,,,,0,0,
BankBoston,BankBoston,Organization,,,,,,0,0,
Banyan,Banyan,Organization,Collaborative social experiences,,,,,0,0,
Barclays,Barclays Global Investors,Organization,Barclays Global Investors is an investment management subsidiary of U.K. based Barclays Bank.,,,,,0,0,
barclays,Barclays Global Investors,Organization,Barclays Global Investors is an investment management subsidiary of U.K. based Barclays Bank.,,,,,0,0,
BARCLAYS,Barclays Global Investors,Organization,Barclays Global Investors is an investment management subsidiary of U.K. based Barclays Bank.,,,,,0,0,
Barco,Barco,Organization,Barco is a technology company designing and developing visualization products for a variety of selected professional markets.,,,,,0,0,
Barcode,barcode,Organization,Company offers Barcode Label Maker Tool.,,,100,51,0,0,100
Barry-Wehmiller,Barry-Wehmiller,Organization,,,,,,0,0,
BASF,BASF,Organization,The Chemical Company,1998-01-01,4,,,0,1,
Basis,BASIS,Organization,Technology Driven Marketing Agency,,,10,1,0,0,6
Basware,Basware,Organization,BasWare, Inc. provides enterprise purchase to pay and financial management solutions in the United States, Europe, and the Asia Pacific.,2002-01-01,4,,,0,0,
Bayer,Bayer HealthCare,Organization,HealthCare unit of Bayer,2008-01-01,4,,,0,0,
BCS,BCS,Organization,,,,,,0,0,
Be,Be,Organization,,,,,,0,0,
Beans,Beans,Organization,Get rewarded for liking on Facebook.,,,None,None,0,0,
BearingPoint,BearingPoint,Organization,BearingPoint Management Consulting (Shanghai) Ltd. is a wholly owned subsidiary of BearingPoint, Inc. in China. BearingPoint, Inc. is a,2002-01-01,7,,,0,0,
Bechtel,Bechtel Corporation,Organization,Bechtel is a U.S.-based construction company that offers engineering, construction, and project management solutions to its customers.,,,,,0,0,
Becker,Becker,Organization,Becker.,,,,,0,0,
Behringer,Behringer,Organization,,,,,,0,0,
Belden,Belden,Organization,Belden is a world-class manufacturer of signal transmission products - primarily for the entertainment, residential, industrial and,1902-01-01,4,10000,5001,0,1,
Belgacom,Belgacom,Organization,As a responible company, Belgacom is the preferred provider of intuitive end-to-end solutions combining fixed and mobile telecom, IT and,1992-01-01,4,,,0,3,
Belgium,Belgium,Organization,,,,,,0,0,
Bell,Bell,Organization,Bell was added to CrunchBase in 2013,,,,,0,0,
Ben,BEN,Organization,,,,,,0,0,
Benchmark,Benchmark,Organization,Benchmark is an early stage venture capital firm focusing in Social, Mobile, Local and Cloud companies that disrupt various industries.,1995-01-01,7,,,0,346,
Bendix,Bendix,Organization,Database applications,2013-09-19,7,10,1,0,0,3
Berlitz,Berlitz Corporation,Organization,Berlitz Corporation operates as a global leadership training and education company. The company provides various programs, including,,,,,0,0,
Bexcom,Bexcom,Organization,,,,,,0,0,
BIC,BIC,Organization,BIC is also a leading supplier to the promotional products industry.,,,,,0,0,
Bigfix,BigFix,Organization,BigFix provides an IT security and operations platform enabling real-time visibility and control of desktop, mobile, and server computers.,1997-01-01,4,,,8400000,0,
BIOCARE,BioCare,Organization,BioCare natural supplements,1997-01-01,4,,,0,0,
BioLife,BioLife Solutions,Organization,BioLife Solutions is located in Bothell, Washington, on a high-tech campus that has its roots as a dairy farm.,1987-01-01,4,,,0,0,
Bioserve,BioServe,Organization,,,,,,0,0,
